行标签,平均值项:gate_a,平均值项:gate_v
Advise,0.233519422,0.98846573
Agree,0.915612108,0.839100132
Apologise,0.973264981,0.951008937
Arrange,0.247314803,0.978104542
Ask for help,0.266217721,0.980219584
Care,0.226814741,0.994919205
Comfort,0.892258031,0.97534364
Complain,0.900115243,0.956792863
Criticize,0.80388671,0.98605243
Flaunt,0.970461855,0.90694814
Greet,0.827104297,0.945317117
Inform,0.775040265,0.975131103
Introduce,0.607330885,0.94269326
Joke,0.822557082,0.92763977
Leave,0.973042574,0.829575315
Oppose,0.373679927,0.970005019
Praise,0.987386417,0.262298662
Prevent,0.490609733,0.964790766
Taunt,0.880017029,0.927914768
Thank,0.984953193,0.699185089
总计,0.744806022,0.873464014
