行标签,平均值项:gate_a,平均值项:gate_v
Advise,0.136255762,0.990532791
Agree,0.823588485,0.962842478
Apologise,0.976995916,0.930627313
Arrange,0.297213964,0.973498143
Ask for help,0.251803838,0.98499488
Care,0.066387159,0.995634342
Comfort,0.574126622,0.992251826
Complain,0.84439551,0.979356223
Criticize,0.70937522,0.992094366
Flaunt,0.8734251,0.937602323
Greet,0.933448505,0.918792593
Inform,0.833108258,0.973729119
Introduce,0.848710834,0.9808315
Joke,0.711160788,0.967458543
Leave,0.969686732,0.662946622
Oppose,0.429520418,0.989081028
Praise,0.946758365,0.646274526
Prevent,0.161597863,0.985416531
Taunt,0.652777799,0.975007925
Thank,0.987292848,0.844634881
总计,0.704616518,0.923268313
