acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name
69.89,67.14,69.92,66.99,0.691,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-01-17-51-47 单文本
71.24,69.21,70.52,69.0,0.6964,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-02-12-05-00  MULT
73.03,70.15,71.31,69.89,0.7137,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-01-18-00-15 简单拼接(同一个transf)
72.13,69.15,69.69,69.71,0.7114,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-01-21-33-27 简单拼接(三个不同的transf)
72.58,70.4,72.37,69.64,0.6777,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-02-11-28-15 拼接文本+视频(2个不同的transf)
70.11,68.02,68.19,69.06,0.6953,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-02-11-21-21 拼接文本+语音(2个不同的transf)
70.11,66.66,68.65,66.52,0.6943,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-02-09-59-42  原始特征拼接
70.11,66.7,67.26,67.43,0.7014,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-01-20-03-02 加权拼接
70.11,67.88,69.01,68.48,0.6995,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-01-19-45-53 拼接后在经过一层transfor
72.81,69.06,69.9,69.1,0.6986,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-01-20-21-57 简单相加
69.66,66.94,66.38,68.77,0.6981,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-01-20-30-30 closs_att加权相加
71.69,68.1,68.68,68.5,0.6901,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-01-20-55-40  线性加权相加
70.56,67.39,69.42,66.45,0.6921,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-09-16-26-50
73.26,70.82,70.91,71.47,0.6953,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-09-19-54-48
71.24,67.58,67.53,68.15,0.6749,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-09-20-14-21
57.75,49.6,54.53,49.95,0.4832,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-18-19-06-05 10%
63.6,57.16,65.26,56.89,0.5539,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-18-19-13-07 20%
68.76,62.68,64.27,62.36,0.619,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-18-19-17-46 30%
69.21,63.56,66.07,62.29,0.6432,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-18-19-45-39 40%
69.66,66.6,68.21,65.83,0.6633,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-18-19-53-20  50%
71.24,66.94,69.04,66.02,0.6656,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-18-20-05-24 60%
69.89,65.31,67.38,65.5,0.6747,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-18-20-13-15  70%
69.44,66.76,68.68,66.91,0.6628,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-18-20-19-51 80%
72.58,68.58,69.32,68.66,0.6869,MIntRec,mult,bert-base-uncased,0,mult_MIntRec_multi-class_2022-11-18-20-28-12 90%
