acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name
72.58,70.46,71.9,70.45,0.6816,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-05-11-07-44 dropout:0.1
71.01,68.98,69.0,69.52,0.6945,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-05-21-31-20 dropout:0
72.13,67.64,68.5,68.17,0.6952,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-09-15-32-04 use_cmd_sim:True
29.44,22.08,23.76,22.03,0.2471,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-10-09-19-09 -t
73.26,70.13,71.67,70.13,0.6886,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-10-09-33-16 -a
71.46,67.23,68.02,68.28,0.6913,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-10-09-44-59 -v
70.56,67.76,68.74,68.36,0.6591,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-10-09-54-08 -diff
71.46,68.34,69.58,68.74,0.6941,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-10-10-00-44 -sim
68.31,66.47,67.97,66.84,0.6966,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-10-10-07-28 -recon
70.56,68.46,69.09,68.61,0.6983,MIntRec,baseline,bert-base-uncased,0.0,baseline_MIntRec_multi-class_2022-11-10-10-57-13 -MultRe
68.76,65.54,64.67,68.11,0.6813,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-10-11-06-39 -gate_v
72.36,69.1,69.67,69.37,0.6843,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-10-11-14-31 -gate_a
71.01,68.3,69.49,68.0,0.7067,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-10-11-23-37 -gate_v
72.36,69.1,69.67,69.37,0.6843,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-17-20-51-41
72.36,69.1,69.67,69.37,0.6843,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-18-09-35-31
72.58,70.46,71.9,70.45,0.6816,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-18-09-46-11 train_data 100%
71.24,68.26,68.78,68.59,0.6773,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-18-12-07-18 train_data 90%
69.21,66.54,68.51,67.14,0.67099,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-18-12-45-11 train_data 80%
69.44,66.85,68.26,66.39,0.6963,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-18-12-52-51 train_data 70%
70.11,66.76,68.53,66.86,0.662,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-18-13-01-48 rain_data 60%
68.99,65.75,67.33,65.2,0.6395,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-18-13-10-29 rain_data 50%
