y,label,gate_a,gate_v
1,Praise,0.07658222,0.6004846
1,Praise,0.07343438,0.59229267
0,Complain,0.8245497,0.76382273
1,Praise,0.07886928,0.6036444
1,Praise,0.07765506,0.6013226
0,Complain,0.81718487,0.766764
1,Praise,0.27565986,0.5506024
0,Complain,0.8114735,0.75838214
0,Complain,0.8088974,0.75806046
0,Complain,0.6407979,0.6929431
1,Praise,0.07921982,0.60256606
1,Praise,0.07833479,0.59584326
0,Complain,0.8268827,0.7648143
0,Complain,0.822768,0.76794654
1,Praise,0.07196526,0.58832693
0,Complain,0.8333622,0.76659006
0,Complain,0.075537875,0.5977919
0,Complain,0.80417705,0.7555397
0,Complain,0.29653317,0.6009266
1,Praise,0.07873871,0.6054466
1,Praise,0.07607268,0.5883944
0,Complain,0.82851565,0.76608837
0,Complain,0.7636155,0.73453844
1,Praise,0.07463453,0.59279037
0,Complain,0.8107526,0.76492715
0,Complain,0.78003335,0.75320166
0,Complain,0.8243646,0.76153886
0,Complain,0.74874043,0.7275171
0,Complain,0.079395264,0.57847273
1,Praise,0.078548744,0.60178477
0,Complain,0.5873811,0.66448903
1,Praise,0.076830946,0.60446846
1,Praise,0.07561906,0.60087764
0,Complain,0.071194515,0.5848815
0,Complain,0.27194327,0.6056851
1,Praise,0.22834396,0.6064326
0,Complain,0.076196425,0.57762986
0,Complain,0.7781108,0.7503227
1,Praise,0.07700999,0.59510946
1,Praise,0.07707,0.57004094
1,Praise,0.30910435,0.64619327
0,Complain,0.833491,0.76527876
0,Complain,0.49266276,0.659279
0,Complain,0.8121576,0.76287836
1,Praise,0.070112,0.5885715
0,Complain,0.742107,0.72318834
1,Praise,0.07843951,0.60363406
0,Complain,0.6826216,0.70923567
0,Complain,0.8461949,0.7790214
1,Praise,0.0774063,0.59413505
0,Complain,0.4243295,0.6334327
0,Complain,0.7944284,0.7579086
0,Complain,0.07491741,0.60439515
0,Complain,0.8159983,0.7558453
0,Complain,0.61404115,0.69881064
1,Praise,0.076554626,0.6001816
1,Praise,0.07729204,0.6104256
1,Praise,0.15184198,0.5634902
0,Complain,0.78120315,0.7487663
0,Complain,0.8224502,0.7661574
0,Complain,0.84570885,0.7680925
0,Complain,0.8000545,0.751718
0,Complain,0.76504314,0.7439663
0,Complain,0.8290472,0.77630216
1,Praise,0.07724926,0.563621
1,Praise,0.07771683,0.5906845
1,Praise,0.41998595,0.62663615
1,Praise,0.07518305,0.59984726
0,Complain,0.82019126,0.7573705
1,Praise,0.08016164,0.56130105
0,Complain,0.119148456,0.55633557
1,Praise,0.08003048,0.5399115
1,Praise,0.07293138,0.5811645
1,Praise,0.078443326,0.60677695
1,Praise,0.07632024,0.5895358
1,Praise,0.07629773,0.59352547
1,Praise,0.078334704,0.5927037
1,Praise,0.0797101,0.6103185
1,Praise,0.36585262,0.5791203
0,Complain,0.7979602,0.74387467
0,Complain,0.37505904,0.6252855
0,Complain,0.8419006,0.7663571
1,Praise,0.078309834,0.5920517
1,Praise,0.3917251,0.6266468
0,Complain,0.606491,0.6969671
0,Complain,0.8129976,0.75841516
1,Praise,0.07884116,0.5943354
1,Praise,0.07742576,0.6005497
1,Praise,0.091875374,0.5727327
