a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t
33,1,0,0,8,0,1,1,2,5,0,0,4,2,0,0,0,0,0,0
0,37,0,2,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0
1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,14,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,4,0,3,0,0,0,1,0,1,0,0,0,0,0
4,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,2,0,1,0,0
2,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0
2,0,0,1,1,0,1,0,3,0,1,0,39,1,6,1,0,1,0,0
0,0,0,0,0,0,1,0,0,0,1,1,0,22,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,4,13,0,1,0,0,1
0,0,0,0,0,0,0,0,3,0,0,0,2,1,1,14,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,13,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,12,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,9,0
0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,6
