y,label,gate_a,gate_v
14,Arrange,0.96220475,0.39107394
12,Inform,0.9908223,0.09018547
4,Criticize,0.814572,0.99029034
13,Advise,0.818378,0.98726803
10,Comfort,0.79573816,0.98682517
1,Praise,0.990974,0.8049134
17,Prevent,0.054760337,0.9839114
11,Care,0.6616753,0.9838907
0,Complain,0.9889026,0.8323035
0,Complain,0.9765695,0.96808594
12,Inform,0.9680684,0.16376336
10,Comfort,0.83557,0.9879111
3,Thank,0.9848387,0.9708986
3,Thank,0.9848299,0.97153014
15,Introduce,0.9838198,0.06518161
2,Apologise,0.8821648,0.9819822
6,Taunt,0.79518616,0.8807594
0,Complain,0.81528467,0.9912758
11,Care,0.7677032,0.9515552
17,Prevent,0.15452915,0.9486741
14,Arrange,0.98191273,0.08237537
2,Apologise,0.8722488,0.9811236
0,Complain,0.97260135,0.97224
13,Advise,0.847244,0.92169154
3,Thank,0.9844785,0.9721729
4,Criticize,0.8766601,0.9817328
0,Complain,0.8354123,0.9925884
2,Apologise,0.885197,0.9828904
0,Complain,0.82651824,0.9712289
17,Prevent,0.2709076,0.94313186
8,Joke,0.9857808,0.42035416
14,Arrange,0.9075196,0.47806564
12,Inform,0.99021894,0.07054246
0,Complain,0.9788946,0.058966327
0,Complain,0.98304534,0.8659527
12,Inform,0.98091,0.12612824
9,Oppose,0.8092126,0.81702936
9,Oppose,0.9703574,0.97164595
13,Advise,0.8391493,0.9563206
15,Introduce,0.87267476,0.19129425
15,Introduce,0.94974035,0.20155218
3,Thank,0.9850096,0.9696205
6,Taunt,0.8040691,0.9822443
1,Praise,0.9873812,0.8085498
15,Introduce,0.9892351,0.045847464
8,Joke,0.7958635,0.8966045
14,Arrange,0.81629246,0.9477177
11,Care,0.73565143,0.9636049
4,Criticize,0.8746116,0.9915814
12,Inform,0.9827048,0.10208818
1,Praise,0.9916978,0.5263415
2,Apologise,0.8759612,0.97742647
1,Praise,0.99228245,0.14090148
3,Thank,0.98667055,0.95432776
9,Oppose,0.08040858,0.98666024
14,Arrange,0.9619199,0.3327487
14,Arrange,0.964901,0.38229048
12,Inform,0.98861516,0.07237757
3,Thank,0.9845883,0.96544313
3,Thank,0.9847239,0.9710543
2,Apologise,0.8964136,0.98038495
4,Criticize,0.7816154,0.9937484
0,Complain,0.7142673,0.972297
1,Praise,0.9870313,0.8150337
18,Greet,0.9700833,0.22724216
10,Comfort,0.80975676,0.9853291
12,Inform,0.9772998,0.11079634
15,Introduce,0.98922986,0.068604484
2,Apologise,0.87694275,0.98266786
13,Advise,0.8706057,0.9482041
8,Joke,0.94687766,0.5417246
15,Introduce,0.82387024,0.2239909
14,Arrange,0.8513031,0.9364373
10,Comfort,0.81299,0.98668194
16,Leave,0.9865911,0.08072669
14,Arrange,0.9295766,0.75818694
16,Leave,0.96985346,0.11264277
18,Greet,0.9833243,0.15024841
10,Comfort,0.27494535,0.9912581
1,Praise,0.986318,0.80021113
4,Criticize,0.8717503,0.9762087
11,Care,0.6775665,0.9836713
13,Advise,0.8350714,0.96047276
10,Comfort,0.75550693,0.98634547
8,Joke,0.8908765,0.9822603
4,Criticize,0.69754994,0.9902361
18,Greet,0.9460983,0.28673676
16,Leave,0.97924256,0.11660538
10,Comfort,0.5547672,0.9896505
2,Apologise,0.97664636,0.9790766
0,Complain,0.9794114,0.96480566
2,Apologise,0.9101196,0.9772166
0,Complain,0.9678559,0.96478426
0,Complain,0.9913907,0.26028687
18,Greet,0.965753,0.29231098
5,Agree,0.77122676,0.94859856
3,Thank,0.98400706,0.97082233
5,Agree,0.72311866,0.9229972
12,Inform,0.93184555,0.70436853
0,Complain,0.99146676,0.94704723
11,Care,0.6644893,0.98449856
0,Complain,0.9793944,0.46219224
11,Care,0.7121553,0.9818424
2,Apologise,0.91757065,0.97627103
0,Complain,0.9812479,0.9671824
9,Oppose,0.21282975,0.916811
0,Complain,0.8198612,0.9754126
14,Arrange,0.94940186,0.32395777
12,Inform,0.98841375,0.1672462
1,Praise,0.9885252,0.79141635
12,Inform,0.9806292,0.20960662
9,Oppose,0.77035546,0.27643096
4,Criticize,0.9247504,0.81654066
12,Inform,0.9868081,0.088753894
17,Prevent,0.055938385,0.9860582
0,Complain,0.64116013,0.9956405
13,Advise,0.8443647,0.9386073
17,Prevent,0.1876711,0.95918083
3,Thank,0.98437065,0.971609
19,Ask for help,0.7547918,0.9139515
15,Introduce,0.978746,0.094497405
16,Leave,0.9690015,0.1231027
12,Inform,0.9689659,0.18866879
1,Praise,0.9881445,0.76796067
12,Inform,0.9858279,0.03259811
13,Advise,0.8806613,0.9840283
8,Joke,0.8937008,0.29771367
3,Thank,0.9783825,0.92155445
12,Inform,0.98865205,0.05473794
1,Praise,0.9883295,0.759613
2,Apologise,0.89960355,0.97729915
16,Leave,0.9770369,0.082159616
1,Praise,0.9888637,0.7403743
7,Flaunt,0.93354714,0.76700956
12,Inform,0.97078943,0.31912747
12,Inform,0.9811335,0.29578015
10,Comfort,0.10197047,0.9886297
12,Inform,0.97789073,0.82883584
13,Advise,0.82654583,0.9600588
0,Complain,0.94118416,0.9871711
3,Thank,0.9859643,0.96916795
7,Flaunt,0.9526579,0.572434
4,Criticize,0.5269205,0.98828506
19,Ask for help,0.75247526,0.8968206
18,Greet,0.9872055,0.04061843
16,Leave,0.971537,0.12891585
14,Arrange,0.9494846,0.5346352
2,Apologise,0.9011517,0.9801168
3,Thank,0.9854595,0.9694504
12,Inform,0.26338705,0.9766573
3,Thank,0.9850042,0.97082806
14,Arrange,0.9733645,0.1765935
11,Care,0.622969,0.9774709
2,Apologise,0.9249455,0.97492015
11,Care,0.61442745,0.98762834
0,Complain,0.8779093,0.98905665
13,Advise,0.8544257,0.94007
0,Complain,0.9514146,0.8872319
12,Inform,0.9788745,0.90010655
1,Praise,0.9872701,0.78891313
16,Leave,0.97384214,0.122127645
12,Inform,0.9888821,0.041735034
15,Introduce,0.93314284,0.13959178
5,Agree,0.6953944,0.94952744
6,Taunt,0.986561,0.11923034
15,Introduce,0.984656,0.050850965
0,Complain,0.11035258,0.9881444
7,Flaunt,0.98852426,0.42167583
10,Comfort,0.64488345,0.98983884
3,Thank,0.984615,0.9714981
4,Criticize,0.91186833,0.97539175
8,Joke,0.94989884,0.58546346
12,Inform,0.98779523,0.17182323
12,Inform,0.9895985,0.08365914
4,Criticize,0.8438787,0.98780954
3,Thank,0.9841808,0.9691149
13,Advise,0.8459431,0.9559142
1,Praise,0.98870474,0.8597021
1,Praise,0.98814255,0.80440027
1,Praise,0.9914483,0.4101768
12,Inform,0.98355985,0.08932738
2,Apologise,0.89517117,0.9811555
6,Taunt,0.9928711,0.4894899
19,Ask for help,0.88710755,0.5882512
15,Introduce,0.9859443,0.05606115
5,Agree,0.7966692,0.9318643
0,Complain,0.9839976,0.96610886
0,Complain,0.9857675,0.9149908
1,Praise,0.98839134,0.7899398
12,Inform,0.9920142,0.09754871
5,Agree,0.8590308,0.9273944
11,Care,0.6659771,0.9835329
11,Care,0.6154313,0.9861524
7,Flaunt,0.9192712,0.7214204
11,Care,0.6472616,0.9849128
1,Praise,0.9874079,0.7821376
2,Apologise,0.87449443,0.98292035
13,Advise,0.83691216,0.93651974
14,Arrange,0.86240184,0.33193707
0,Complain,0.82850796,0.93276227
2,Apologise,0.89501685,0.9802824
1,Praise,0.98685294,0.8037575
14,Arrange,0.9807717,0.11920088
1,Praise,0.9879077,0.79337436
0,Complain,0.9834857,0.9607249
9,Oppose,0.10606536,0.9510956
1,Praise,0.9866202,0.76012015
12,Inform,0.98865056,0.09669112
12,Inform,0.99122566,0.04316189
19,Ask for help,0.72962856,0.96574
12,Inform,0.9303425,0.24427247
2,Apologise,0.8763694,0.9835706
6,Taunt,0.13748059,0.9857092
0,Complain,0.951995,0.95950043
12,Inform,0.99177575,0.66919124
1,Praise,0.9885461,0.7761149
12,Inform,0.96134245,0.21098168
13,Advise,0.96131194,0.3691363
15,Introduce,0.9419814,0.10041585
9,Oppose,0.23597412,0.9764696
4,Criticize,0.9759824,0.9775619
18,Greet,0.9612614,0.3105886
12,Inform,0.9825926,0.14294527
4,Criticize,0.84838074,0.9910947
14,Arrange,0.8244463,0.9862823
1,Praise,0.92682153,0.92914027
15,Introduce,0.980513,0.14738439
12,Inform,0.98810124,0.054491594
1,Praise,0.9883469,0.7648053
15,Introduce,0.98965174,0.0468393
10,Comfort,0.6167498,0.9926398
12,Inform,0.9906901,0.06057153
14,Arrange,0.9254904,0.68480587
0,Complain,0.98602617,0.9256352
10,Comfort,0.15393925,0.9913863
16,Leave,0.9707931,0.15094116
10,Comfort,0.64581925,0.99281454
3,Thank,0.9843382,0.96855116
1,Praise,0.9856697,0.83364004
14,Arrange,0.9749543,0.17143631
15,Introduce,0.9814181,0.10874912
0,Complain,0.7923823,0.9900187
16,Leave,0.9865421,0.07382271
15,Introduce,0.6350258,0.635511
0,Complain,0.9791778,0.9715096
13,Advise,0.84362125,0.95343965
12,Inform,0.9794536,0.04015953
16,Leave,0.9708945,0.12585765
4,Criticize,0.91958815,0.6831221
10,Comfort,0.6466044,0.9566551
17,Prevent,0.2599175,0.9494925
1,Praise,0.988749,0.84104
4,Criticize,0.68505746,0.9915519
19,Ask for help,0.817806,0.9707271
2,Apologise,0.904115,0.97902566
17,Prevent,0.98477215,0.12416866
1,Praise,0.98727083,0.790492
9,Oppose,0.31740624,0.9870345
4,Criticize,0.98164225,0.94933
18,Greet,0.9883386,0.052785758
8,Joke,0.98058313,0.84119636
11,Care,0.5274549,0.98919404
16,Leave,0.97452354,0.102549054
15,Introduce,0.8898267,0.33833683
0,Complain,0.985473,0.52440614
15,Introduce,0.9037301,0.17939728
2,Apologise,0.92406636,0.9814556
3,Thank,0.9848437,0.9714532
